Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Content disclaimer,Visibility,IIIF Access URL,Rights.copyrightStatus,Rights.statementLocal,Rights.countryCreation,Rights.creatorCorporate,Name.creator,Subject.descriptiveTopic,Type.typeOfResource,Type.genre,Name.repository,Name.performer,Name.composer,Rights.servicesContact,Description.note,Title,AltIdentifier.local,Date.creation,Format.dimensions,Format.medium,Relation.isPartOf,Date.digitized,Format.extent,Description.tableOfContents,Description.abstract,Waveform,media.width,media.height,media.duration,media.format,IIIF Manifest URL
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz0008b9f6,ark:/21198/zz00089bvf,2,Completed,Work,wilgus/audio/masters/21198-zz0008b9f6-1-master.wav,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/08/b9/f6/21198=zz0008b9f6/ark%2B=21198=zz0008b9f6.mp4{},copyrighted,,,,,,sound recording-musical,,"University of California, Los Angeles. Ethnomusicology Archive",,,,"Recorded by: Charles R. Cutts; Robert G. Wylder|~|Title from tape: Butte Material * Hand Williard Peck|~|Tape contains dubs made in 1965 of 8"", 10"", and 12"" acetate discs which were originally recorded in 1948.|~|Performer: Eamonn O'Sullivan",The Rising of the Moon,clym200203acwf_srf001-48_side1-11,1948-07-15,7 in.,"sound tape reels : 7 1/2 ips, two track, mono.",Archive of California and Western Folklore,,02m 40s,,,https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0008b9f6%2Faudiowaveform.dat,,,160.75425,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008b9f6/manifest
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz0008b9gq,ark:/21198/zz00089bvf,2,Completed,Work,wilgus/audio/masters/21198-zz0008b9gq-1-master.wav,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/08/b9/gq/21198=zz0008b9gq/ark%2B=21198=zz0008b9gq.mp4{},copyrighted,,,,,,sound recording-musical,,"University of California, Los Angeles. Ethnomusicology Archive",,,,"Recorded by: Charles R. Cutts; Robert G. Wylder|~|Tape contains dubs made in 1965 of 8"", 10"", and 12"" acetate discs which were originally recorded in 1948.|~|Performer: Eamonn O'Sullivan|~|Title from tape: Butte Material * Hand Williard Peck",Caillen Das Cruite Na Mo,clym200203acwf_srf001-48_side1-12,1948-07-15,7 in.,"sound tape reels : 7 1/2 ips, two track, mono.",Archive of California and Western Folklore,,03m 43s,,,https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0008b9gq%2Faudiowaveform.dat,,,223.793177,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008b9gq/manifest
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz0008b9vd,ark:/21198/zz00089bvf,2,Completed,Work,wilgus/audio/masters/21198-zz0008b9vd-1-master.wav,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/08/b9/vd/21198=zz0008b9vd/ark%2B=21198=zz0008b9vd.mp4{},copyrighted,,,,,,sound recording,,"University of California, Los Angeles. Ethnomusicology Archive",,,,"Recorded by: Dan Mortensen|~|Title from tape: Mortenson * Scandinavian Stories|~|Performer: Dan M. Mortensen|~|Location: Salt Lake City, Utah. Sandpede County and Adjacent Territory.|~|A Scandinavian Who Always Wore an Old Vest;Brother Poulson and Brother Larson (Chickens that don't lay any eggs);The M.D. and the Engineer;What to do with the City Cemetery;Lord Teaching Stories;The Old Convert;Two Drunks from Sandpede County;Old Brother Olson;The Patriotic Lad on the Fourth of July;The Old Church President;An Old Scandinavian on a Cold Morning;The Mail Carrier;The Old Brown Dog and the Harelip.",Scandinavian Stories,clym200203acwf001-57_side1-01,1957-07,7 in.,"sound tape reels : 7 1/2 ips, two track, mono.",Archive of California and Western Folklore,,32m 39s,,,https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0008b9vd%2Faudiowaveform.dat,,,1959.728063,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008b9vd/manifest
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz0008bd3g,ark:/21198/zz00089bvf,2,Completed,Work,wilgus/audio/masters/21198-zz0008bd3g-1-master.wav,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/08/bd/3g/21198=zz0008bd3g/ark%2B=21198=zz0008bd3g.mp4{},copyrighted,,,,,,sound recording,,"University of California, Los Angeles. Ethnomusicology Archive",,,,"Recorded by: Charles R. Cutts; Robert G. Wylder|~|Performer: Matthew Hanifin|~|Title from tape: Butte Material * Hand Williard Peck|~|Tape contains dubs made in 1965 of 8"", 10"", and 12"" acetate discs which were originally recorded in 1948.",Old Irish Miner's Song,clym200203acwf_srf001-48_side2-01,1948-07-15,7 in.,"sound tape reels : 7 1/2 ips, two track, mono.",Archive of California and Western Folklore,,03m 53s,,,https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0008bd3g%2Faudiowaveform.dat,,,233.26325,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008bd3g/manifest
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz0008bd40,ark:/21198/zz00089bvf,2,Completed,Work,wilgus/audio/masters/21198-zz0008bd40-1-master.wav,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/08/bd/40/21198=zz0008bd40/ark%2B=21198=zz0008bd40.mp4{},copyrighted,,,,,,sound recording,,"University of California, Los Angeles. Ethnomusicology Archive",,,,"Recorded by: Charles R. Cutts; Robert G. Wylder|~|Title from tape: Butte Material * Hand Williard Peck|~|Performer: Kyle Pugh|~|Tape contains dubs made in 1965 of 8"", 10"", and 12"" acetate discs which were originally recorded in 1948.",I Once Was a Carman in the Big Mountain,clym200203acwf_srf001-48_side2-02,1948-07-15,7 in.,"sound tape reels : 7 1/2 ips, two track, mono.",Archive of California and Western Folklore,,03m 05s,,,https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0008bd40%2Faudiowaveform.dat,,,185.609031,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008bd40/manifest
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz0008bd5h,ark:/21198/zz00089bvf,2,Completed,Work,wilgus/audio/masters/21198-zz0008bd5h-1-master.wav,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/08/bd/5h/21198=zz0008bd5h/ark%2B=21198=zz0008bd5h.mp4{},copyrighted,,,,,,sound recording,,"University of California, Los Angeles. Ethnomusicology Archive",,,,"Recorded by: Charles R. Cutts; Robert G. Wylder|~|Title from tape: Butte Material * Hand Williard Peck|~|Performer: Jack Gaffney|~|Tape contains dubs made in 1965 of 8"", 10"", and 12"" acetate discs which were originally recorded in 1948.",By the Moon Light,clym200203acwf_srf001-48_side2-03,1948-07-15,7 in.,"sound tape reels : 7 1/2 ips, two track, mono.",Archive of California and Western Folklore,,00m 54s,,,https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0008bd5h%2Faudiowaveform.dat,,,54.845865,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008bd5h/manifest
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz0008bd61,ark:/21198/zz00089bvf,2,Completed,Work,wilgus/audio/masters/21198-zz0008bd61-1-master.wav,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/08/bd/61/21198=zz0008bd61/ark%2B=21198=zz0008bd61.mp4{},copyrighted,,,,,,sound recording,,"University of California, Los Angeles. Ethnomusicology Archive",,,,"Recorded by: Charles R. Cutts; Robert G. Wylder|~|Title from tape: Butte Material * Hand Williard Peck|~|Performer: Jack Gaffney|~|Tape contains dubs made in 1965 of 8"", 10"", and 12"" acetate discs which were originally recorded in 1948.",Casey's Goat,clym200203acwf_srf001-48_side2-04,1948-07-15,7 in.,"sound tape reels : 7 1/2 ips, two track, mono.",Archive of California and Western Folklore,,01m 05s,,,https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0008bd61%2Faudiowaveform.dat,,,65.544438,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008bd61/manifest
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz0008bd7j,ark:/21198/zz00089bvf,2,Completed,Work,wilgus/audio/masters/21198-zz0008bd7j-1-master.wav,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/08/bd/7j/21198=zz0008bd7j/ark%2B=21198=zz0008bd7j.mp4{},copyrighted,,,,,,sound recording,,"University of California, Los Angeles. Ethnomusicology Archive",,,,"Recorded by: Charles R. Cutts; Robert G. Wylder|~|Title from tape: Butte Material * Hand Williard Peck|~|Performer: Jack Gaffney|~|Tape contains dubs made in 1965 of 8"", 10"", and 12"" acetate discs which were originally recorded in 1948.",My Father Was a Miner,clym200203acwf_srf001-48_side2-05,1948-07-15,7 in.,"sound tape reels : 7 1/2 ips, two track, mono.",Archive of California and Western Folklore,,00m 25s,,,https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0008bd7j%2Faudiowaveform.dat,,,25.230604,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008bd7j/manifest
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz0008bd82,ark:/21198/zz00089bvf,2,Completed,Work,wilgus/audio/masters/21198-zz0008bd82-1-master.wav,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/08/bd/82/21198=zz0008bd82/ark%2B=21198=zz0008bd82.mp4{},copyrighted,,,,,,sound recording,,"University of California, Los Angeles. Ethnomusicology Archive",,,,"Recorded by: Charles R. Cutts; Robert G. Wylder|~|Title from tape: Butte Material * Hand Williard Peck|~|Tape contains dubs made in 1965 of 8"", 10"", and 12"" acetate discs which were originally recorded in 1948.|~|Performer: Ralph Workman",The Dirty Miner,clym200203acwf_srf001-48_side2-06,1948-07-15,7 in.,"sound tape reels : 7 1/2 ips, two track, mono.",Archive of California and Western Folklore,,01m 05s,,,https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0008bd82%2Faudiowaveform.dat,,,65.344,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008bd82/manifest
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz0008bd9k,ark:/21198/zz00089bvf,2,Completed,Work,wilgus/audio/masters/21198-zz0008bd9k-1-master.wav,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/08/bd/9k/21198=zz0008bd9k/ark%2B=21198=zz0008bd9k.mp4{},copyrighted,,,,"University of California, Los Angeles. Ethnomusicology Archive",,sound recording,,,,,,"Title from tape: Butte Material * Hand Williard Peck|~|Tape contains dubs made in 1965 of 8"", 10"", and 12"" acetate discs which were originally recorded in 1948.",False start,clym200203acwf_srf001-48_side2-07,1948-07-15,7 in.,"sound tape reels : 7 1/2 ips, two track, mono.",Archive of California and Western Folklore,,00m 11s,,,https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0008bd9k%2Faudiowaveform.dat,,,11.074406,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008bd9k/manifest
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz0008bdb3,ark:/21198/zz00089bvf,2,Completed,Work,wilgus/audio/masters/21198-zz0008bdb3-1-master.wav,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/08/bd/b3/21198=zz0008bdb3/ark%2B=21198=zz0008bdb3.mp4{},copyrighted,,,,,,sound recording,,"University of California, Los Angeles. Ethnomusicology Archive",,,,"Recorded by: Charles R. Cutts; Robert G. Wylder|~|Tape contains dubs made in 1965 of 8"", 10"", and 12"" acetate discs which were originally recorded in 1948.|~|Title from tape: Butte Material * Hand Williard Peck|~|Performer: Ralph Workman",If I Had the Wings of an Angel,clym200203acwf_srf001-48_side2-08,1948-07-15,7 in.,"sound tape reels : 7 1/2 ips, two track, mono.",Archive of California and Western Folklore,,00m 34s,,,https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0008bdb3%2Faudiowaveform.dat,,,34.851802,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008bdb3/manifest
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz0008bdcm,ark:/21198/zz00089bvf,2,Completed,Work,wilgus/audio/masters/21198-zz0008bdcm-1-master.wav,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/08/bd/cm/21198=zz0008bdcm/ark%2B=21198=zz0008bdcm.mp4{},copyrighted,,,,,,sound recording,,"University of California, Los Angeles. Ethnomusicology Archive",,,,"Recorded by: Charles R. Cutts; Robert G. Wylder|~|Performer: Ralph Workman|~|Tape contains dubs made in 1965 of 8"", 10"", and 12"" acetate discs which were originally recorded in 1948.|~|Title from tape: Butte Material * Hand Williard Peck",I Know My Love,clym200203acwf_srf001-48_side2-09,1948-07-15,7 in.,"sound tape reels : 7 1/2 ips, two track, mono.",Archive of California and Western Folklore,,01m 50s,,,https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0008bdcm%2Faudiowaveform.dat,,,110.71899,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008bdcm/manifest
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz0008bdd4,ark:/21198/zz00089bvf,2,Completed,Work,wilgus/audio/masters/21198-zz0008bdd4-1-master.wav,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/08/bd/d4/21198=zz0008bdd4/ark%2B=21198=zz0008bdd4.mp4{},copyrighted,,,,,,sound recording,,"University of California, Los Angeles. Ethnomusicology Archive",,,,"Recorded by: Charles R. Cutts; Robert G. Wylder|~|Performer: James Gallagher|~|Tape contains dubs made in 1965 of 8"", 10"", and 12"" acetate discs which were originally recorded in 1948.|~|Title from tape: Butte Material * Hand Williard Peck",The Old Miner,clym200203acwf_srf001-48_side2-11,1948-07-15,7 in.,"sound tape reels : 7 1/2 ips, two track, mono.",Archive of California and Western Folklore,,02m 41s,,,https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0008bdd4%2Faudiowaveform.dat,,,161.155135,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008bdd4/manifest
Ethnomusicology Archive: D. K. Wilgus Collection,ark:/21198/zz0008bdfn,ark:/21198/zz00089bvf,2,Completed,Work,wilgus/audio/masters/21198-zz0008bdfn-1-master.wav,,,,,,https://wowza.library.ucla.edu/iiif_av_public/definst/mp4:wilgus/pairtree_root/21/19/8=/zz/00/08/bd/fn/21198=zz0008bdfn/ark%2B=21198=zz0008bdfn.mp4{},copyrighted,,,,,,sound recording,,"University of California, Los Angeles. Ethnomusicology Archive",,,,"Recorded by: Charles R. Cutts; Robert G. Wylder|~|Tape contains dubs made in 1965 of 8"", 10"", and 12"" acetate discs which were originally recorded in 1948.|~|Title from tape: Butte Material * Hand Williard Peck|~|Performer: Ralph Workman",Nipper Song,clym200203acwf_srf001-48_side2-10,1948-07-15,7 in.,"sound tape reels : 7 1/2 ips, two track, mono.",Archive of California and Western Folklore,,01m 21s,,,https://static.library.ucla.edu/ark%3A%2F21198%2Fzz0008bdfn%2Faudiowaveform.dat,,,81.379344,audio/x-wav,https://iiif.library.ucla.edu/ark%3A%2F21198%2Fzz0008bdfn/manifest
